CS 345,1,Elwakil,Mohamed Medhat
CS 699,1,
CS 699,2,
CS 699,3,
CS 699,4,
CS 699,5,
EE 699,1,
EE 699,2,
EE 699,3,
EE 699,4,
EE 699,5,
EE 699,6,
EE 699,7,
CS 110,1,Jacobs,Steven Miles
CS 122L,1,Jacobs,Steven Miles
CS 122L,2,Jacobs,Steven Miles
CS 122L,3,Jacobs,Steven Miles
CS 122L,4,Jacobs,Steven Miles
CS 122L,5,Jacobs,Steven Miles
CS 122L,6,Jacobs,Steven Miles
CS 122L,7,Jacobs,Steven Miles
CS 122L,8,Jacobs,Steven Miles
CS 122L,9,
CS 126L,1,Vanderberg,Margaret Lisa Hamill
CS 126L,2,Vanderberg,Margaret Lisa Hamill
CS 126L,3,Vanderberg,Margaret Lisa Hamill
CS 126L,4,Vanderberg,Margaret Lisa Hamill
CS 136L,1,Elwakil,Mohamed Medhat
CS 136L,2,Elwakil,Mohamed Medhat
CS 136L,3,Elwakil,Mohamed Medhat
EE 685,1,
EE 685,2,
EE 685,3,
CS 540,1,
CS 440,1,
CS 465,1,Otte,Wolf-Dieter Wilhelm
EE 286,1,Sharber,John P
CS 112,1,Otte,Wolf-Dieter Wilhelm
CS 122,1,Leverington,Michael E
CS 122,2,Leverington,Michael E
CS 122,3,Leverington,Michael E
CS 122,4,
CS 126,1,Vanderberg,Margaret Lisa Hamill
CS 126,2,Vanderberg,Margaret Lisa Hamill
CS 136,1,Elwakil,Mohamed Medhat
CS 136,2,Elwakil,Mohamed Medhat
CS 212,1,Kelley,Patrick Edward
EE 110,1,Zhou,Xi
CS 249,1,Kelley,Patrick Edward
EE 215,1,Grubbs,Elmer Andrew
EE 215,2,
CS 315,1,Doerry,Eck
CS 386,1,Gerosa,Marco Aurelio
CS 396,1,Loulergue,Frederic
CS 421,1,Otte,Wolf-Dieter Wilhelm
EE 442,1,
CS 470,1,Doerry,Eck
CS 477,1,Jacobs,Steven Miles
CS 485,1,
CS 485,2,
CS 485,3,
CS 485,4,
CS 485,5,
CS 485,6,
CS 486C,1,Doerry,Eck
CS 499,1,Groce,Alex David
EE 542,1,
CS 599,1,Doerry,Eck
CS 599,2,Groce,Alex David
EE 188,1,Scott,David Robin
EE 188,2,Grubbs,Elmer Andrew
EE 188L,A,Scott,David Robin
EE 188L,B,
EE 188L,C,Scott,David Robin
EE 188L,D,Heynssens,Julie
EE 188L,E,Zhou,Xi
EE 222,1,Grubbs,Elmer Andrew
EE 222,2,Kelley,Patrick Edward
EE 280,1,Heynssens,Julie
EE 280,2,
EE 310,1,Zhou,Xi
EE 348,1,Afghah,Fatemeh
EE 348,2,Afghah,Fatemeh
EE 485,1,
EE 486C,1,Scott,David Robin
EE 497,1,Heynssens,Julie
EE 499,1,
EE 499,2,Yaramasu,Venkata N
EE 499,3,
EE 599,1,
EE 599,2,Yaramasu,Venkata N
EE 599,3,
EE 697,1,
EGR 186,1,Morgan,Robert G.
EGR 186,10,Ostroha,Jamie Lyn
EGR 186,2,McDonnell,Dianne Elaine
EGR 186,3,McDonnell,Dianne Elaine
EGR 186,4,Morgan,Robert G.
EGR 186,5,Morgan,Robert G.
EGR 186,6,Cooperrider,Bryan Elliot
EGR 186,7,Cooperrider,Bryan Elliot
EGR 186,8,
EGR 186,9,
EE 325,1,Heynssens,Julie
EGR 386W,1,
EGR 386W,2,Willy,David Michael
EGR 386W,3,
EGR 386W,4,
EGR 386W,5,McDonnell,Dianne Elaine
EGR 386W,6,
EGR 386W,7,Richter,David Michael
EGR 386W,8,Richter,David Michael
EGR 476C,1,McDonnell,Dianne Elaine
EGR 486C,1,Morgan,Robert G.
CS 200,1,Remy,Joseph Leroy
CS 301,1,Jacobs,Steven Miles
CS 480,1,Leverington,Michael E
EE 490,1,Razi,Abolfazl
EE 490,2,Heynssens,Julie
EE 490,3,
